Fan Power ,Compressor Power ,Battery Current ,Battery Voltage ,Battery Backup Time,IT_Load, Phase Output Load Percentage,UPS Efficiency ,Accessory Load ,UPS_loose,Outdoor Temperature,Outdoor Relative humidity ,Relative Humidity  Setpoint ,Upper_RH recomm,Lower_RH recomm,IT Room humidity ,Upper_Temp recomm,Lower_Temp recomm,Temperature  Set point ,IT Room temperature ,Battery Temperature,Total_IN,PUE
735.82,2571.32,0.15,427.08,782.50,5142.9,48.56,84.50,1279.60,943.33,16.40,24.00,45,55.00,40.00,37.85,27.00,18.00,20,23.11,21.00,6086.23,8
707.09,2592.21,0.15,427.08,783.05,5140.3,48.53,84.46,1279.53,945.44,16.29,29.25,45,55.00,40.00,37.72,27.00,18.00,20,26.79,22.00,6085.74,7
734.56,2561.02,0.15,427.01,838.63,4893.9,46.07,83.49,1170.73,967.44,19.29,44.38,45,55.00,40.00,38.62,27.00,18.00,20,22.18,23.50,5861.34,11
716.43,2530.22,0.15,427.01,838.43,4904.8,46.18,83.35,1171.15,979.53,19.17,45.63,45,55.00,40.00,39.03,27.00,18.00,20,22.06,23.50,5884.33,10
754.70,2499.92,0.15,426.98,838.05,4879.9,45.94,82.22,1174.10,1055.16,19.71,48.38,45,55.00,40.00,39.69,27.00,18.00,20,22.27,23.54,5935.06,12
746.88,2496.89,0.15,426.95,837.96,4810.3,45.36,81.38,1197.30,1100.46,18.00,55.38,45,55.00,40.00,39.98,27.00,18.00,20,22.32,23.54,5910.76,15
763.72,2505.25,0.15,426.98,837.74,4759.4,45.35,83.20,1215.25,960.85,18.67,50.25,45,55.00,40.00,40.29,27.00,18.00,20,21.88,23.50,5720.25,14
747.80,2568.71,0.15,427.04,837.94,4814.9,45.37,82.96,1192.11,989.14,19.67,44.13,45,55.00,40.00,40.52,27.00,18.00,20,21.80,23.50,5804.04,14
718.15,2590.09,0.15,427.04,837.77,4818.1,45.40,83.85,1172.23,927.81,21.33,41.00,45,55.00,40.00,40.71,27.00,18.00,20,22.08,23.54,5745.91,12
741.02,2559.65,0.15,427.01,838.63,4805.6,45.32,83.57,1169.85,944.79,20.50,40.57,45,55.00,40.00,53.57,27.00,18.00,20,23.03,23.50,5750.39,13
